rq,system,duration_h,renewable_utilization_pct,peak_reduction_pct,baseline_peak_mw,optimized_peak_mw,baseline_curtailment_mwh,curtailed_renewable_mwh,curtailment_avoided_mwh,energy_from_storage_mwh,energy_into_storage_mwh,equivalent_battery_cycles,baseline_ramp_volatility_mw,optimized_ramp_volatility_mw,volatility_reduction_pct,flex_pct,penetration,scenario,lp_peak_reduction_pct,heuristic_peak_reduction_pct
2,Germany,2.0,82.31649736798433,5.123225766662702,69007.30440194871,65471.90440194871,11426505.74250887,10967434.813628696,459070.9288801737,70307.10994432076,83566.97555765475,6.69873008043605,4681.173159779079,4242.550297645681,9.369934569010853,5.0,,,,
2,Germany,4.0,82.44142685579345,5.123225766662702,69007.30440194871,65471.90440194871,11426505.74250887,10889952.651731318,536553.0907775518,135137.88759439293,161049.13745503325,6.447079531491301,4681.173159779079,4177.69700912989,10.755341310060606,5.0,,,,
2,Germany,8.0,82.6360727334299,5.123225766662702,69007.30440194871,65471.90440194871,11426505.74250887,10769231.886216553,657273.8562923167,233980.2404425445,281769.9029697983,5.613146275402418,4681.173159779079,4128.820373321576,11.799452137411855,5.0,,,,
2,Germany,0.0,82.68788754334692,7.5841468813532025,69007.30440194871,63773.68907724241,11426505.74250887,10737095.970500588,689409.7720082812,0.0,0.0,0.0,4681.173159779079,4593.367027848925,1.8757292014871145,10.0,,,,
2,Germany,2.0,82.81281703115604,7.5841468813532025,69007.30440194871,63773.68907724241,11426505.74250887,10659613.808603212,766891.9339056574,64830.77765007215,77482.16189737851,6.1954289825465505,4681.173159779079,4536.900044359516,3.0819862990578066,10.0,,,,
2,Germany,4.0,82.92161074779943,7.5841468813532025,69007.30440194871,63773.68907724241,11426505.74250887,10592139.167393913,834366.5751149561,120654.78668087174,144956.80310667638,5.781546452145922,4681.173159779079,4492.396055897996,4.0326879061656316,10.0,,,,
2,Germany,8.0,83.11193712671916,7.5841468813532025,69007.30440194871,63773.68907724241,11426505.74250887,10474097.38587847,952408.3566303998,217086.0539296345,262998.5846221206,5.224982164687866,4681.173159779079,4447.403683981308,4.9938224419111865,10.0,,,,
2,Germany,0.0,83.10924459418914,-2.1719371782407166,69007.30440194871,70506.09970195638,11426505.74250887,10475767.31381194,950738.4286969304,0.0,0.0,0.0,4681.173159779079,5541.365616705311,-18.37557440337944,15.0,,,,
2,Germany,2.0,83.2175818843986,-2.1719371782407166,69007.30440194871,70506.09970195638,11426505.74250887,10408575.751541559,1017929.990967311,55569.23798577613,67191.56227038291,5.344249245684561,4681.173159779079,5481.396110615925,-17.09449583519811,15.0,,,,
2,Germany,4.0,83.32591917460807,-2.1719371782407166,69007.30440194871,70506.09970195638,11426505.74250887,10341384.189271176,1085121.5532376934,111138.47597155227,134383.12454076583,5.344249245684561,4681.173159779079,5446.569211933374,-16.350517830244453,15.0,,,,
2,Germany,8.0,83.51012680396586,-2.1719371782407166,69007.30440194871,70506.09970195638,11426505.74250887,10227137.29999841,1199368.4425104596,204154.34020190392,248630.01381353103,4.9278605983251484,4681.173159779079,5410.681427160291,-15.5838770000903,15.0,,,,
2,Germany,0.0,83.43187165756936,-19.302642982448727,69007.30440194871,82327.5380024685,11426505.74250887,10275671.701513452,1150834.0409954172,0.0,0.0,0.0,4681.173159779079,6855.001128633236,-46.43767480194533,20.0,,,,
2,Germany,2.0,83.54020894777884,-19.302642982448727,69007.30440194871,82327.5380024685,11426505.74250887,10208480.13924307,1218025.6032657996,55569.23798577613,67191.56227038291,5.344249245684561,4681.173159779079,6788.017747490398,-45.006764667743006,20.0,,,,
2,Germany,4.0,83.64307687784398,-19.302642982448727,69007.30440194871,82327.5380024685,11426505.74250887,10144680.713253796,1281825.0292550735,108085.55331855372,130990.98825965634,5.203960157982596,4681.173159779079,6750.805865917266,-44.21183826141267,20.0,,,,
2,Germany,8.0,83.82656706306362,-19.302642982448727,69007.30440194871,82327.5380024685,11426505.74250887,10030878.787967023,1395626.954541847,200700.94996151392,244792.91354643102,4.848514833402585,4681.173159779079,6685.075700620282,-42.80769953264824,20.0,,,,
3,Morocco (Tétouan),,93.92598634984863,0.0,101.58889285851535,101.58889285851535,1479.4760877897259,1479.4760877897259,0.0,0.0,0.0,0.0,13.095366262551352,13.095366262551352,0.0,,25.0,none,,
3,Morocco (Tétouan),,98.7893269012003,10.000982575739384,101.58889285851535,91.42900538484868,1479.4760877897259,294.8893438459465,1184.5867439437793,258.9223987695118,276.28043047432544,9.887778469454583,13.095366262551352,9.545264764210884,27.109600656933488,,25.0,storage+flex,,
3,Morocco (Tétouan),,64.3010885731497,0.0,101.57891098036404,101.57891098036404,17390.703695515134,17390.703695515134,0.0,0.0,0.0,0.0,24.048342160783438,24.048342160783438,0.0,,50.0,none,,
3,Morocco (Tétouan),,71.93121153170031,10.001965344588754,101.57891098036404,91.41902350669737,17390.703695515134,13673.69378600013,3717.0099095150035,1001.2051913270564,1101.039088871597,38.838594632712606,24.048342160783438,19.59917908583457,18.500913889208917,,50.0,storage+flex,,
3,Morocco (Tétouan),,48.01557506134572,0.0,101.56892910221273,101.56892910221273,37986.27303001973,37986.27303001973,0.0,0.0,0.0,0.0,35.491224136670695,35.491224136670695,0.0,,75.0,none,,
3,Morocco (Tétouan),,53.95793463257777,10.544927789841452,101.56892910221273,90.85855887146914,37986.27303001973,33644.047577266356,4342.225452753373,1212.8193122895568,1336.165889941042,47.092054870455954,35.491224136670695,31.163512390716544,12.193751698416671,,75.0,storage+flex,,
3,Morocco (Tétouan),,38.36674712501917,0.0,101.55894722406143,101.55894722406143,60049.2057431969,60049.2057431969,0.0,0.0,0.0,0.0,47.06804975418267,47.06804975418267,0.0,,100.0,none,,
3,Morocco (Tétouan),,42.996835658879846,12.046951695108088,101.55894722406143,89.32418990991843,60049.2057431969,55538.11593356135,4511.089809635552,1282.8114281732533,1413.9349075895939,49.82191591552291,47.06804975418267,42.946453728846656,8.756674744038547,,100.0,storage+flex,,
3,Morocco (Tétouan),,31.876409901494636,0.0,101.54896534591012,101.54896534591012,82965.91707743026,82965.91707743026,0.0,0.0,0.0,0.0,58.69962275441444,58.69962275441444,0.0,,125.0,none,,
3,Morocco (Tétouan),,35.595143768871424,12.046663795964186,101.54896534591012,89.31570290240815,82965.91707743026,78436.96953917385,4528.947538256412,1295.769248558555,1428.3324857954844,50.32730211012785,58.69962275441444,54.78838406864468,6.663141093995565,,125.0,storage+flex,,
3,Germany,,100.0,0.0,70141.10146731624,70141.10146731624,0.0,0.0,0.0,0.0,0.0,0.0,2783.259525963356,2783.259525963356,0.0,,25.0,none,,
3,Germany,,100.0,3.8351013074520264,70141.10146731624,67451.11916788195,0.0,0.0,0.0,8716.74321345508,0.0,0.18973665961010275,2783.259525963356,3636.120277873542,-30.642516227982355,,25.0,storage+flex,,
3,Germany,,95.37768404571625,0.0,69574.20293463247,69574.20293463247,1911195.610641102,1911195.610641102,0.0,0.0,0.0,0.0,3556.33927029904,3556.33927029904,0.0,,50.0,none,,
