timestamp,demand_mw,solar_mw,wind_mw
2015-01-08T02:00:00Z,47228.0000,0.0000,16695.0000
2015-01-08T03:00:00Z,48253.0000,0.0000,16787.0000
2015-01-08T04:00:00Z,51155.0000,0.0000,16751.0000
2015-01-08T05:00:00Z,58605.0000,0.0000,17496.0000
2015-01-08T06:00:00Z,65447.0000,0.0000,18076.0000
2015-01-08T07:00:00Z,68569.0000,57.0000,18039.0000
2015-01-08T08:00:00Z,68599.0000,446.0000,18177.0000
2015-01-08T09:00:00Z,69484.0000,1083.0000,18094.0000
2015-01-08T10:00:00Z,70635.0000,1738.0000,17924.0000
2015-01-08T11:00:00Z,69962.0000,2062.0000,17249.0000
2015-01-08T12:00:00Z,69062.0000,1702.0000,16601.0000
2015-01-08T13:00:00Z,67835.0000,1039.0000,16519.0000
2015-01-08T14:00:00Z,67765.0000,414.0000,15881.0000
2015-01-08T15:00:00Z,68183.0000,58.0000,16707.0000
2015-01-08T16:00:00Z,70139.0000,0.0000,16975.0000
2015-01-08T17:00:00Z,69246.0000,0.0000,18201.0000
2015-01-08T18:00:00Z,67516.0000,0.0000,19836.0000
2015-01-08T19:00:00Z,62992.0000,0.0000,21336.0000
2015-01-08T20:00:00Z,59524.0000,0.0000,22571.0000
2015-01-08T21:00:00Z,57518.0000,0.0000,22747.0000
2015-01-08T22:00:00Z,53026.0000,0.0000,22911.0000
2015-01-08T23:00:00Z,48517.0000,0.0000,22489.0000
2015-01-09T00:00:00Z,46472.0000,0.0000,22208.0000
2015-01-09T01:00:00Z,45546.0000,0.0000,22583.0000
2015-01-09T02:00:00Z,45568.0000,0.0000,23691.0000
2015-01-09T03:00:00Z,46950.0000,0.0000,25057.0000
2015-01-09T04:00:00Z,50426.0000,0.0000,26415.0000
2015-01-09T05:00:00Z,58351.0000,0.0000,27400.0000
2015-01-09T06:00:00Z,65555.0000,0.0000,28102.0000
2015-01-09T07:00:00Z,69326.0000,54.0000,28930.0000
2015-01-09T08:00:00Z,69495.0000,421.0000,29704.0000
2015-01-09T09:00:00Z,70357.0000,974.0000,29755.0000
2015-01-09T10:00:00Z,70829.0000,1398.0000,29097.0000
2015-01-09T11:00:00Z,69565.0000,1473.0000,29389.0000
2015-01-09T12:00:00Z,68267.0000,1235.0000,29671.0000
2015-01-09T13:00:00Z,66887.0000,870.0000,29948.0000
2015-01-09T14:00:00Z,66518.0000,351.0000,30155.0000
2015-01-09T15:00:00Z,67566.0000,46.0000,30151.0000
2015-01-09T16:00:00Z,70120.0000,0.0000,29928.0000
2015-01-09T17:00:00Z,69465.0000,0.0000,28857.0000
2015-01-09T18:00:00Z,66230.0000,0.0000,27610.0000
2015-01-09T19:00:00Z,61923.0000,0.0000,26129.0000
2015-01-09T20:00:00Z,58868.0000,0.0000,23946.0000
2015-01-09T21:00:00Z,55441.0000,0.0000,21901.0000
2015-01-09T22:00:00Z,51740.0000,0.0000,21036.0000
2015-01-09T23:00:00Z,47944.0000,0.0000,20066.0000
2015-01-10T00:00:00Z,45889.0000,0.0000,20244.0000
2015-01-10T01:00:00Z,44455.0000,0.0000,20546.0000
2015-01-10T02:00:00Z,43933.0000,0.0000,21921.0000
2015-01-10T03:00:00Z,43836.0000,0.0000,23217.0000
2015-01-10T04:00:00Z,43841.0000,0.0000,24259.0000
2015-01-10T05:00:00Z,44671.0000,0.0000,26163.0000
2015-01-10T06:00:00Z,48011.0000,0.0000,27333.0000
2015-01-10T07:00:00Z,52333.0000,54.0000,28275.0000
2015-01-10T08:00:00Z,55587.0000,549.0000,28573.0000
2015-01-10T09:00:00Z,57068.0000,2017.0000,28972.0000
2015-01-10T10:00:00Z,58679.0000,4231.0000,29416.0000
2015-01-10T11:00:00Z,59031.0000,5278.0000,29437.0000
2015-01-10T12:00:00Z,57469.0000,4540.0000,29058.0000
2015-01-10T13:00:00Z,55753.0000,2758.0000,28893.0000
2015-01-10T14:00:00Z,54425.0000,961.0000,28518.0000
2015-01-10T15:00:00Z,55698.0000,85.0000,28528.0000
2015-01-10T16:00:00Z,59546.0000,0.0000,28306.0000
2015-01-10T17:00:00Z,59665.0000,0.0000,27903.0000
2015-01-10T18:00:00Z,57456.0000,0.0000,27538.0000
2015-01-10T19:00:00Z,53439.0000,0.0000,26991.0000
2015-01-10T20:00:00Z,51071.0000,0.0000,26413.0000
2015-01-10T21:00:00Z,50351.0000,0.0000,25282.0000
2015-01-10T22:00:00Z,47188.0000,0.0000,24714.0000
2015-01-10T23:00:00Z,43422.0000,0.0000,24177.0000
2015-01-11T00:00:00Z,41048.0000,0.0000,23990.0000
2015-01-11T01:00:00Z,39718.0000,0.0000,23304.0000
2015-01-11T02:00:00Z,39187.0000,0.0000,23096.0000
2015-01-11T03:00:00Z,39643.0000,0.0000,23358.0000
2015-01-11T04:00:00Z,39494.0000,0.0000,23626.0000
2015-01-11T05:00:00Z,38786.0000,0.0000,24642.0000
2015-01-11T06:00:00Z,40821.0000,0.0000,25338.0000
2015-01-11T07:00:00Z,44081.0000,124.0000,26313.0000
2015-01-11T08:00:00Z,47653.0000,1074.0000,26486.0000
2015-01-11T09:00:00Z,51246.0000,2469.0000,27234.0000
2015-01-11T10:00:00Z,54420.0000,3410.0000,27728.0000
2015-01-11T11:00:00Z,54436.0000,4121.0000,28164.0000
2015-01-11T12:00:00Z,52716.0000,3981.0000,28334.0000
2015-01-11T13:00:00Z,51569.0000,3024.0000,28516.0000
2015-01-11T14:00:00Z,51194.0000,1424.0000,28205.0000
2015-01-11T15:00:00Z,52466.0000,180.0000,27910.0000
2015-01-11T16:00:00Z,57143.0000,4.0000,28319.0000
2015-01-11T17:00:00Z,58328.0000,0.0000,28254.0000
2015-01-11T18:00:00Z,56551.0000,0.0000,28342.0000
2015-01-11T19:00:00Z,53601.0000,0.0000,27719.0000
2015-01-11T20:00:00Z,51979.0000,0.0000,26743.0000
2015-01-11T21:00:00Z,52143.0000,0.0000,25379.0000
2015-01-11T22:00:00Z,48829.0000,0.0000,24797.0000
2015-01-11T23:00:00Z,45904.0000,0.0000,24581.0000
2015-01-12T00:00:00Z,44192.0000,0.0000,24303.0000
2015-01-12T01:00:00Z,43720.0000,0.0000,23316.0000
2015-01-12T02:00:00Z,44011.0000,0.0000,22426.0000
2015-01-12T03:00:00Z,45401.0000,0.0000,22173.0000
2015-01-12T04:00:00Z,49613.0000,0.0000,22966.0000
2015-01-12T05:00:00Z,58225.0000,0.0000,24759.0000
2015-01-12T06:00:00Z,66110.0000,0.0000,25598.0000
2015-01-12T07:00:00Z,69474.0000,82.0000,26158.0000
2015-01-12T08:00:00Z,69448.0000,556.0000,26580.0000
2015-01-12T09:00:00Z,70736.0000,1418.0000,27864.0000
2015-01-12T10:00:00Z,72115.0000,2113.0000,28664.0000
2015-01-12T11:00:00Z,72023.0000,2350.0000,28914.0000
